"BeneficialUse","R3172ParameterName","CriterionLabel","IR_MLID","R317Descrp","IR_Lat","IR_Long","ASSESS_ID","AU_NAME","BEN_CLASS","AsmntAggFun","SSC_StartMon","SSC_EndMon","SSC_MLID","SampleCount","ExcCount","IR_Cat"
"1C","Arsenic","NA","UTAHDWQ_WQX-4937860","Big Brush Creek and tributaries, from Tyzack (Red Fleet) Dam to headwaters","40.589402282","-109.468191255","UT14060002-006_00","Big Brush Creek","1C,2B,3A,4","NA","NA","NA","NA",15,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4951150","North Fork Virgin River and tributaries","37.339094454","-112.842883384","UT15010008-015_00","North Fork Virgin River-1","1C,2A,3A,4","NA","NA","NA","NA",6,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4951421","Virgin River and tributaries, from the Quail Creek diversion to headwaters, except as listed below","37.173373478","-112.80088169","UT15010008-018_00","East Fork Virgin-1","1C,2B,3C,4","NA","NA","NA","NA",5,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4951550","Virgin River and tributaries, from the Quail Creek diversion to headwaters, except as listed below","37.222484287","-112.680767259","UT15010008-018_00","East Fork Virgin-1","1C,2B,3C,4","NA","NA","NA","NA",10,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4952370","Colorado River and tributaries, from Lake Powell to state line except as listed below","37.89776768","-110.205138958","UT14070001-003_00","Colorado River-2","1C,2A,3B,4","NA","NA","NA","NA",5,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4952380","Colorado River and tributaries, from Lake Powell to state line except as listed below","38.070817047","-110.047071385","UT14070001-003_00","Colorado River-2","1C,2A,3B,4","NA","NA","NA","NA",13,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4952400","Colorado River and tributaries, from Lake Powell to state line except as listed below","38.192485903","-109.884566727","UT14030005-003_00","Colorado River-3","1C,2A,3B,4","NA","NA","NA","NA",14,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4954775","Fremont River and tributaries, through Capitol Reef National Park to headwaters","38.297759189","-111.298509035","UT14070003-008_00","Fremont River-3","1C,2A,3A,4","NA","NA","NA","NA",5,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4956290","Colorado River and tributaries, from Lake Powell to state line except as listed below","38.466925439","-109.666223956","UT14030005-003_00","Colorado River-3","1C,2A,3B,4","NA","NA","NA","NA",12,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4991950","City Creek, from City Creek Water Treatment Plant to headwaters","40.815311","-111.830628","UT16020204-010_00","City Creek-2","1C,2B,3A","NA","NA","NA","NA",4,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4992170","Parley's Creek and tributaries, from Mountain Dell Reservoir to headwaters","40.761895491","-111.708262142","UT16020204-014_00","Mountain Dell Creek-1","1C,2B,3A","NA","NA","NA","NA",4,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4992180","Little Dell Reservoir","40.770500454","-111.703542711","UT-L-16020204-026_00","Little Dell Reservoir","1C,2B,3A","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4992190","Parley's Creek and tributaries, from Mountain Dell Reservoir to headwaters","40.800226649","-111.68132101","UT16020204-015_00","Mountain Dell Creek-2","1C,2B,3A","NA","NA","NA","NA",3,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4992200","Parley's Creek and tributaries, from Mountain Dell Reservoir to headwaters","40.765775944","-111.707154043","UT16020204-014_00","Mountain Dell Creek-1","1C,2B,3A","NA","NA","NA","NA",3,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4992210","Parley's Creek and tributaries, from Mountain Dell Reservoir to headwaters","40.741615583","-111.675487468","UT16020204-013_00","Parleys Canyon Creek-2","1C,2B,3A","NA","NA","NA","NA",2,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4992230","Parley's Creek and tributaries, from 1300 East in Salt Lake City to Mountain Dell Reservoir","40.711612919","-111.810489675","UT16020204-025_00","Parleys Canyon Creek-1","1C,2B,3A","NA","NA","NA","NA",4,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4993100","Big Cottonwood Creek and tributaries, from Big Cottonwood Water Treatment Plant to headwaters","40.618554798","-111.781593257","UT16020204-020_00","Big Cottonwood Creek-2","1C,2B,3A","NA","NA","NA","NA",4,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4993330","Big Cottonwood Creek and tributaries, from Big Cottonwood Water Treatment Plant to headwaters","40.616061413","-111.591869607","UT16020204-020_00","Big Cottonwood Creek-2","1C,2B,3A","NA","NA","NA","NA",8,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4994720","Jordan River, from Narrows Diversion to Utah Lake","40.442661244","-111.922794339","UT16020201-008_00","Jordan River-8","1C,2B,3B,4","NA","NA","NA","NA",10,4,"NS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4996780","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.32634338","-111.642149","UT16020203-002_00","Provo River-2","1C,2B,3A,4","NA","NA","NA","NA",14,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4996810","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.34772865","-111.5902004","UT16020203-002_00","Provo River-2","1C,2B,3A,4","NA","NA","NA","NA",7,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4996850","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.36439878","-111.5568613","UT16020203-003_00","Provo River-3","1C,2B,3A,4","NA","NA","NA","NA",6,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4996870","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.40328919","-111.5304658","UT16020203-013_00","Provo Deer Creek","1C,2B,3A,4","NA","NA","NA","NA",6,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4996900","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.389682355","-111.431576122","UT16020203-009_00","Main Creek-1","1C,2B,3A,4","NA","NA","NA","NA",5,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4996905","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.386111599","-111.434816862","UT16020203-009_00","Main Creek-1","1C,2B,3A,4","NA","NA","NA","NA",10,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4996910","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.375509627","-111.424629807","UT16020203-010_00","Main Creek-2","1C,2B,3A,4","NA","NA","NA","NA",9,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4996920","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.379404771","-111.421296808","UT16020203-010_00","Main Creek-2","1C,2B,3A,4","NA","NA","NA","NA",4,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4997250","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.50023865","-111.4442507","UT16020203-027_00","Spring Creek-Heber","1C,2B,3A,4","NA","NA","NA","NA",7,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4997300","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.55412408","-111.431579","UT16020203-004_00","Provo River-4","1C,2B,3A,4","NA","NA","NA","NA",6,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4997330","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.59495075","-111.4271377","UT16020203-004_00","Provo River-4","1C,2B,3A,4","NA","NA","NA","NA",7,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4997675","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.61708488","-111.4321258","UT16020203-016_00","McHenry Creek","1C,2B,3A,4","NA","NA","NA","NA",6,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-5910160","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.482097","-111.470603","UT16020203-014_00","Snake Creek-1","1C,2B,3A,4","NA","NA","NA","NA",7,7,"NS"
"1C","Arsenic","NA","UTAHDWQ_WQX-5910250","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.50717276","-111.4496313","UT16020203-004_00","Provo River-4","1C,2B,3A,4","NA","NA","NA","NA",7,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-5911120","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.48579242","-111.4615709","UT16020203-026_00","Heber Valley","1C,2B,3A,4","NA","NA","NA","NA",3,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-5911680","Lake Mary","40.588006171","-111.590475943","UT-L-16020204-024_00","Lake Mary","1C,2B,3A","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-5913210","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.40440364","-111.5290839","UT16020203-003_00","Provo River-3","1C,2B,3A,4","NA","NA","NA","NA",7,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-5913220","Deer Creek Reservoir","40.4091227","-111.5235227","UT-L-16020203-001_00","Deer Creek Reservoir","1C,2A,3A,4","NA","NA","NA","NA",4,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-5913230","Deer Creek Reservoir","40.42523752","-111.5037958","UT-L-16020203-001_00","Deer Creek Reservoir","1C,2A,3A,4","NA","NA","NA","NA",4,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-5913240","Deer Creek Reservoir","40.46328944","-111.4832379","UT-L-16020203-001_00","Deer Creek Reservoir","1C,2A,3A,4","NA","NA","NA","NA",4,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-5913460","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.409660066","-111.47851692","UT16020203-009_00","Main Creek-1","1C,2B,3A,4","NA","NA","NA","NA",14,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-5913630","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below","40.48412029","-111.4651817","UT16020203-004_00","Provo River-4","1C,2B,3A,4","NA","NA","NA","NA",11,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-5914010","Jordanelle Reservoir","40.600785","-111.4157456","UT-L-16020203-003_00","Jordanelle Reservoir","1C,2A,3A,4","NA","NA","NA","NA",3,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-5914030","Jordanelle Reservoir","40.61967636","-111.4107435","UT-L-16020203-003_00","Jordanelle Reservoir","1C,2A,3A,4","NA","NA","NA","NA",3,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-5914040","Jordanelle Reservoir","40.60300804","-111.3851818","UT-L-16020203-003_00","Jordanelle Reservoir","1C,2A,3A,4","NA","NA","NA","NA",2,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-5916460","Trial Lake","40.681054622","-110.956286938","UT-L-16020203-002_00","Trial Lake","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-5923310","Rockport Reservoir","40.78634027","-111.4046454","UT-L-16020101-002_00","Rockport Reservoir","1C,2A,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-5933520","Big Sandwash Reservoir","40.294678706","-110.229881053","UT-L-14060003-230_00","Big Sand Wash Reservoir","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-5936450","Currant Creek Reservoir","40.333419972","-111.053188555","UT-L-14060004-007_00","Currant Creek Reservoir","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-5937650","Red Fleet Reservoir","40.57524053","-109.4226399","UT-L-14060010-008_00","Red Fleet Reservoir","1C,2A,3A,4","NA","NA","NA","NA",3,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-5938100","Long Park Reservoir","40.910042649","-109.870566543","UT-L-14040106-032_00","Long Park Reservoir","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-5952090","Blanding Reservoir #4","37.664273316","-109.498457827","UT-L-14080201-002_00","Blanding City Reservoir","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-5952560","Lake Powell (Utah portion)","37.139718777","-110.954038262","UT-L-14070006-001_00","Lake Powell","1C,2A,3B,4","NA","NA","NA","NA",6,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-5952590","Lake Powell (Utah portion)","37.168325059","-110.817919862","UT-L-14070006-001_00","Lake Powell","1C,2A,3B,4","NA","NA","NA","NA",6,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-5952770","Lake Powell (Utah portion)","37.471936339","-110.726531144","UT-L-14070006-001_00","Lake Powell","1C,2A,3B,4","NA","NA","NA","NA",6,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-5952910","Lake Powell (Utah portion)","37.721651856","-110.471249104","UT-L-14070006-001_00","Lake Powell","1C,2A,3B,4","NA","NA","NA","NA",5,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-5952920","Lake Powell (Utah portion)","37.85415504","-110.40180504","UT-L-14070006-001_00","Lake Powell","1C,2A,3B,4","NA","NA","NA","NA",5,0,"FS"
"1C","Cadmium","NA","UTAHDWQ_WQX-4926400","Weber River and tributaries, from Stoddard diversion to headwaters","40.911894081","-111.406312408","UT16020101-017_00","Weber River-8","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4930010","Green River and tributaries, from confluence with Colorado River to state line except as listed below:","38.190264829","-109.889841891","UT14060008-002_00","Green River-5","1C,2B,3B,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4930524","Huntington Creek and tributaries, from Highway U-10 crossing to headwaters","39.338859731","-110.961892477","UT14060009-004_00","Huntington Creek-2","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4934500","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.16356901","-110.392373643","UT14060003-017_00","Duchesne River-4","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4935800","Lake Fork Canal from Dry Gulch Canal Diversion to Moon Lake","40.258292395","-110.222097479","UT14060003-008_00","Lake Fork-1","1C,2B,3E,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4936050","Starvation Reservoir","40.19217671","-110.4430696","UT-L-14060004-006_00","Starvation Reservoir","1C,2A,3A,4","NA","NA","NA","NA",2,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4936530","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.239123129","-111.182115875","UT14060004-013_00","Strawberry-4","1C,2B,3A,4","NA","NA","NA","NA",2,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4936610","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.116070733","-111.176553385","UT14060004-013_00","Strawberry-4","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4936620","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.233293","-111.188232","UT14060004-013_00","Strawberry-4","1C,2B,3A,4","NA","NA","NA","NA",2,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4936650","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.237451091","-111.185450083","UT14060004-014_00","Strawberry River Upper","1C,2B,3A,4","NA","NA","NA","NA",3,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4936685","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.366258784","-111.225259894","UT14060004-014_00","Strawberry River Upper","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4936710","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.281064931","-111.226306164","UT14060004-014_00","Strawberry River Upper","1C,2B,3A,4","NA","NA","NA","NA",3,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4936770","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.465782049","-110.832666707","UT14060003-019_00","North Fork Duchesne","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4936790","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.462171006","-110.833772605","UT14060003-018_00","West Fork Duchesne","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4937120","Green River and tributaries, from confluence with Colorado River to state line except as listed below:","40.203294786","-109.702918977","UT14060001-001_00","Green River-2 Tributaries","1C,2B,3B,4","NA","NA","NA","NA",2,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4952370","Colorado River and tributaries, from Lake Powell to state line except as listed below","37.89776768","-110.205138958","UT14070001-003_00","Colorado River-2","1C,2A,3B,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4952380","Colorado River and tributaries, from Lake Powell to state line except as listed below","38.070817047","-110.047071385","UT14070001-003_00","Colorado River-2","1C,2A,3B,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4954775","Fremont River and tributaries, through Capitol Reef National Park to headwaters","38.297759189","-111.298509035","UT14070003-008_00","Fremont River-3","1C,2A,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4991950","City Creek, from City Creek Water Treatment Plant to headwaters","40.815311","-111.830628","UT16020204-010_00","City Creek-2","1C,2B,3A","NA","NA","NA","NA",2,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4992170","Parley's Creek and tributaries, from Mountain Dell Reservoir to headwaters","40.761895491","-111.708262142","UT16020204-014_00","Mountain Dell Creek-1","1C,2B,3A","NA","NA","NA","NA",1,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4992190","Parley's Creek and tributaries, from Mountain Dell Reservoir to headwaters","40.800226649","-111.68132101","UT16020204-015_00","Mountain Dell Creek-2","1C,2B,3A","NA","NA","NA","NA",1,0,"idNE"
"1C","Cadmium","NA","UTAHDWQ_WQX-4992200","Parley's Creek and tributaries, from Mountain Dell Reservoir to headwaters","40.765775944","-111.707154043","UT16020204-014_00","Mountain Dell Creek-1","1C,2B,3A","NA","NA","NA","NA",1,0,"idNE"
